date,mean autumn surface temperature
1957,14.41
1958,15.77
1959,15.59
1960,14.24
1961,16.89
1962,14.58
1963,15.48
1964,14.38
1966,15.28
1967,13.99
1968,15.05
1969,15.08
1970,14.97
1971,13.3
1972,11.97
1973,14.2
1974,12.64
1975,13.4
1976,14.99
1977,14.06
1978,14.89
1979,15.02
1980,14.01
1981,14.71
1982,14.4
1983,15.11
1984,14.37
1985,15.68
1986,14.81
1987,14.13
1988,14.33
1989,13.79
1990,15.33
1991,15.14
1992,14.77
1993,13.05
1994,13.47
1995,14.17
1996,13.8
1997,15.65
1998,14.61
1999,14.22
2000,15.31
2001,15.45
2002,14.07
2003,14.26
2004,15.8
2005,15.33
2006,16.65
2008,15.58
2009,16.39
2010,13.81
2011,16.63
2012,16.06
2013,15.67
2014,17.3
2015,15.71
2016,14.94
2017,16.57
2018,16.31
2019,16.57
2020,15.02
2021,16.55
2022,17.05
2023,19.13
