date,mean autumn epilimnion 0-5 m oxygen concentration
1973,8.99
1976,12.34
1978,10.88
1982,9.24
1985,9.27
1986,10.21
1987,9.05
1988,10.35
1989,9.69
1990,10.43
1991,9.64
1992,9.59
1993,10.31
1994,9.14
1995,10.2
1996,11.52
1997,9.64
1998,10.22
1999,9.22
2000,9.61
2001,11.15
2002,9.23
2003,10.4
2004,10.15
2005,11.04
2006,10.73
2007,10.59
2008,10.86
2009,11.09
2010,11.81
2011,10.92
2012,10.31
2013,11.16
2014,10.86
2015,10.84
2016,11.15
2017,11.03
2018,10.54
2019,10.26
2020,10.65
2021,10.42
2022,10.91
2023,11.28
