date,mean autumn surface temperature
1973,13.57
1976,15.16
1978,13.95
1982,14.7
1985,16.03
1986,14.91
1987,14.68
1988,14.6
1989,14.47
1990,15.2
1991,14.96
1992,14.06
1993,13.6
1994,13.91
1995,15.67
1996,13.03
1997,15.04
1998,13.44
1999,14.52
2000,14.61
2001,15.15
2002,13.54
2003,13.88
2004,15.58
2005,15.79
2006,16.27
2007,15.07
2008,14.43
2009,15.26
2010,14.96
2011,16.49
2012,15.39
2013,15.66
2014,16.87
2015,14.75
2016,14.91
2017,15.57
2018,16.1
2019,16.27
2020,15.71
2021,15.59
2022,16.93
2023,17.94
