date,mean spring surface temperature
1973,6.81
1974,11.71
1977,7.67
1978,8.13
1979,6.69
1982,6.3
1983,7.3
1984,6.09
1985,6.22
1986,4.99
1987,6.67
1988,8.5
1989,9.39
1990,7.77
1991,7.25
1992,8.98
1993,8.39
1994,9.86
1995,9.15
1996,9.58
1997,8.57
1998,11.28
1999,8.51
2000,11.21
2001,9.85
2002,10.31
2004,9.47
2005,8.89
2006,8.57
2007,13.65
2008,7.98
2009,8.12
2010,10.5
2011,11.96
2012,7.94
2013,7.78
2014,10.49
2015,10.62
2016,8.57
2017,10.07
2018,9.93
2019,11.7
2020,12.22
2021,8.54
2022,11.03
2023,9.6
