date,mean summer epilimnion 0-5 m oxygen concentration
1950,9.08
1951,10.74
1952,10.8
1953,11.19
1975,15.05
1976,11.94
1977,12.51
1978,13.21
1979,12.38
1980,13.79
1981,10.22
1982,9.72
1983,11.71
1984,10.55
1985,10.95
1986,12.34
1987,10.9
1988,11.75
1989,11.65
1990,12.25
1991,10.28
1992,10.71
1993,9.77
1994,10.37
1995,11.1
1996,10.32
1997,10.39
1998,10.16
1999,10.52
2000,10.69
2001,11.76
2002,11.02
2003,9.57
2004,10.86
2005,10.01
2006,10.08
2007,11.03
2008,10.29
2009,10.68
2010,9.33
2011,8.58
2013,9.73
2014,9.59
2015,9.35
2016,10.55
2017,9.39
2018,9.02
2019,9.97
2020,9.1
2021,10.3
2022,8.85
2023,9.0
