date,mean summer bottom oxygen concentration
1974,4.39
1975,2.87
1976,3.43
1977,4.75
1978,4.39
1979,4.41
1980,3.45
1981,5.64
1982,6.0
1983,5.82
1984,5.16
1985,6.67
1986,8.19
1987,4.59
1988,2.97
1989,2.77
1990,3.85
1991,3.81
1992,4.59
1993,4.85
1994,5.16
1995,5.53
1996,5.67
1997,5.33
1998,5.84
1999,5.14
2000,5.51
2001,6.43
2002,5.76
2003,5.87
2004,6.42
2005,5.62
2006,6.99
2007,5.76
2008,7.32
2009,6.41
2010,6.56
2011,6.06
2012,5.64
2013,7.34
2014,5.37
2015,5.19
2016,6.65
2017,6.07
2018,7.02
2019,7.28
2020,7.14
2021,7.52
2022,6.2
2023,6.71
