date,mean autumn bottom temperature
1967,4.4
1968,4.3
1969,4.2
1970,4.1
1971,4.17
1972,4.2
1973,4.3
1974,4.4
1975,4.68
1976,4.4
1977,4.48
1978,4.5
1979,4.4
1980,4.5
1981,4.1
1982,4.2
1983,4.3
1984,4.2
1985,4.02
1986,4.09
1987,4.03
1988,4.27
1989,4.5
1990,4.76
1991,4.5
1992,4.44
1993,4.54
1994,4.63
1995,4.87
1996,4.49
1997,4.5
1998,4.58
1999,4.55
2000,4.65
2001,4.7
2002,4.8
2003,4.6
2004,4.6
2005,4.3
2006,4.0
2007,4.2
2008,4.6
2009,4.6
2010,4.3
2011,4.4
2012,4.2
2013,4.3
2014,4.4
2015,4.6
2016,4.8
2017,4.8
2018,4.7
2019,4.8
2020,5.05
2021,5.17
2022,5.3
2023,5.4
