date,mean annual bottom conductivity
1988,289.34
1989,282.45
1990,289.86
1991,292.92
1992,289.87
1993,296.39
1994,278.47
1995,279.67
1996,279.52
1997,280.56
1998,281.11
1999,283.47
2000,283.11
2001,283.55
2002,283.45
2003,282.75
2004,284.06
2005,269.11
2006,268.95
2007,271.66
2008,273.32
2009,275.08
2010,277.51
2011,279.6
2012,281.04
2013,288.17
2014,291.18
2015,291.62
2016,289.52
2017,289.64
2018,294.22
2019,295.04
2020,294.88
