attribute,spearman_rho,p_value
gauge_lat,0.67,0.0063
gauge_northing_nawaf,0.648,0.0121
gauge_northing,0.646,0.0092
gauge_northing_nawat,0.601,0.0386
q_nawat_corrector,0.57,0.0531
area,0.439,0.1014
foen_nawat_dist,0.429,0.1646
area_nawaf,0.363,0.2026
nawat_id,-0.35,0.2652
sensor_id,0.286,0.3019
area_nawat,0.238,0.4568
nawaf_id,-0.152,0.6048
gauge_easting,-0.132,0.6387
gauge_lon,-0.132,0.6387
area_swiss_perc,0.116,0.68
gauge_easting_nawat,-0.077,0.8122
foen_nawaf_dist,0.066,0.8224
gauge_easting_nawaf,-0.015,0.9584
